,cwgp_combination,result
88,"(('sa', 2), ('sal', 3), ('box_cox', 1))","(0.003169424044239608, 0.004201351008596018)"
89,"(('sa', 2), ('sal', 3), ('box_cox', 2))","(0.0162393553225716, 0.01641179016195654)"
90,"(('sa', 2), ('sal', 3), ('box_cox', 3))","(0.003320245987250741, 0.004139810079451864)"
91,"(('sa', 2), ('box_cox', 1), ('sa', 1))","(0.00322549630100646, 0.004152813733669827)"
92,"(('sa', 2), ('box_cox', 1), ('sa', 3))","(0.003225512186277178, 0.004152823845622682)"
93,"(('sa', 2), ('box_cox', 1), ('sal', 1))","(0.004091361085663663, 0.004956917961479077)"
94,"(('sa', 2), ('box_cox', 1), ('sal', 2))","(0.003003209431693097, 0.00397502079165876)"
95,"(('sa', 2), ('box_cox', 1), ('sal', 3))","(0.0030861631703171005, 0.00413630857538234)"
96,"(('sa', 2), ('box_cox', 1), ('box_cox', 2))","(0.0037240031371268295, 0.004573028271512707)"
97,"(('sa', 2), ('box_cox', 1), ('box_cox', 3))","(0.003922501739547553, 0.004700470053390951)"
98,"(('sa', 2), ('box_cox', 2), ('sa', 1))","(0.002796968527564162, 0.00374610326159875)"
99,"(('sa', 2), ('box_cox', 2), ('sa', 3))","(0.002796980915392536, 0.003746113092241453)"
100,"(('sa', 2), ('box_cox', 2), ('sal', 1))","(0.0036020467140824852, 0.004567282946338096)"
101,"(('sa', 2), ('box_cox', 2), ('sal', 2))","(0.0030939758635624742, 0.0037517363943663394)"
102,"(('sa', 2), ('box_cox', 2), ('sal', 3))","(0.003102259664063713, 0.003759789965225896)"
103,"(('sa', 2), ('box_cox', 2), ('box_cox', 1))","(0.0034367123060699716, 0.004309854114693238)"
104,"(('sa', 2), ('box_cox', 2), ('box_cox', 3))","(0.003885909477619968, 0.0046444603376723905)"
105,"(('sa', 2), ('box_cox', 3), ('sa', 1))","(0.0025634045283505053, 0.0035010433050392353)"
106,"(('sa', 2), ('box_cox', 3), ('sa', 3))","(0.002563402595553817, 0.003501050772958224)"
107,"(('sa', 2), ('box_cox', 3), ('sal', 1))","(0.003513201541744524, 0.004489203884746856)"
108,"(('sa', 2), ('box_cox', 3), ('sal', 2))","(0.0030727166656360255, 0.0037329872604241277)"
109,"(('sa', 2), ('box_cox', 3), ('sal', 3))","(0.0029365919498095367, 0.003974842265638244)"
110,"(('sa', 2), ('box_cox', 3), ('box_cox', 1))","(0.0033611817798551475, 0.004202802079769952)"
111,"(('sa', 2), ('box_cox', 3), ('box_cox', 2))","(0.003616234367434432, 0.004420725771788835)"
112,"(('sa', 3), ('sa', 1), ('sa', 2))","(0.0034567747256538345, 0.004399257438052516)"
113,"(('sa', 3), ('sa', 1), ('sal', 1))","(0.004797463793709751, 0.005474025942340296)"
114,"(('sa', 3), ('sa', 1), ('sal', 2))","(0.005920963577071947, 0.006406455642633002)"
115,"(('sa', 3), ('sa', 1), ('sal', 3))","(0.0026662199856208563, 0.0034039950902782024)"
